Name,CAS,SMILES,IUPAC_Name
Furalaxyl-M,57764-08-6,O1C(=CC=C1)C(=O)N(C1=C(C=CC=C1C)C)[C@@H](C(=O)OC)C,"methyl (2R)-2-[N-(furan-2-carbonyl)-2,6-dimethylanilino]propanoate"
Pydiflumetofen,1228284-64-7,FC(C1=NN(C=C1C(=O)N(C(CC1=C(C=C(C=C1Cl)Cl)Cl)C)OC)C)F,"3-(difluoromethyl)-N-methoxy-1-methyl-N-[1-(2,4,6-trichlorophenyl)propan-2-yl]pyrazole-4-carboxamide"
Zoxamide,156052-68-5,ClC=1C=C(C(=O)NC(C(CCl)=O)(CC)C)C=C(C1C)Cl,"3,5-dichloro-N-(1-chloro-3-methyl-2-oxopentan-3-yl)-4-methylbenzamide"
Chlobenthiazone,63755-05-5,ClC1=CC=CC2=C1N(C(S2)=O)C,"4-chloro-3-methyl-1,3-benzothiazol-2-one"
Biphenyl,92-52-4,C1(=CC=CC=C1)C1=CC=CC=C1,"1,1'-biphenyl"
Mefentrifluconazole,1417782-03-6,ClC1=CC=C(OC2=CC(=C(C=C2)C(CN2N=CN=C2)(C)O)C(F)(F)F)C=C1,"2-[4-(4-chlorophenoxy)-2-(trifluoromethyl)phenyl]-1-(1,2,4-triazol-1-yl)propan-2-ol"
Sanguinarine,2447-54-3,C[N+]=1C=C2C=3OCOC3C=CC2=C2C=CC3=CC=4OCOC4C=C3C12,"24-methyl-5,7,18,20-tetraoxa-24-azoniahexacyclo[11.11.0.02,10.04,8.014,22.017,21]tetracosa-1(24),2,4(8),9,11,13,15,17(21),22-nonaene"
Benzamorf,12068-08-5,Not found,4-dodecylbenzenesulfonic acid;morpholine
Ipfentrifluconazole,1417782-08-1,ClC1=CC=C(OC2=CC(=C(C=C2)C(CN2N=CN=C2)(C(C)C)O)C(F)(F)F)C=C1,"2-[4-(4-chlorophenoxy)-2-(trifluoromethyl)phenyl]-3-methyl-1-(1,2,4-triazol-1-yl)butan-2-ol"
Metsulfovax,21452-18-6,CC=1SC(=C(N1)C)C(=O)NC1=CC=CC=C1,"2,4-dimethyl-N-phenyl-1,3-thiazole-5-carboxamide"
Propamidine,104-32-5,C(N)(=N)C1=CC=C(OCCCOC2=CC=C(C=C2)C(N)=N)C=C1,4-[3-(4-carbamimidoylphenoxy)propoxy]benzenecarboximidamide
Peroxyacetic acid,79-21-0,C(C)(=O)OO,ethaneperoxoic acid
Fluxapyroxad,907204-31-3,FC(C1=NN(C=C1C(=O)NC1=C(C=CC=C1)C1=CC(=C(C(=C1)F)F)F)C)F,"3-(difluoromethyl)-1-methyl-N-[2-(3,4,5-trifluorophenyl)phenyl]pyrazole-4-carboxamide"
Bromochlorodimethylhydantoin,126-06-7,BrN1C(N(C(C1=O)(C)C)Cl)=O,"3-bromo-1-chloro-5,5-dimethylimidazolidine-2,4-dione"
Kasugamycin phosphate,101651-86-9,C[C@H]1O[C@H](OC2[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H]2O)[C@@H](N)C[C@@H]1N=C(N)C(O)=O.O[P](O)(O)=O,"2-amino-2-[(2R,3S,5S,6R)-5-amino-2-methyl-6-[(2R,3S,5S,6S)-2,3,4,5,6-pentahydroxycyclohexyl]oxyoxan-3-yl]iminoacetic acid;phosphoric acid"
Folpet,133-07-3,ClC(Cl)(Cl)SN1C(C2=CC=CC=C2C1=O)=O,"2-(trichloromethylsulfanyl)isoindole-1,3-dione"
Oxathiapiprolin,1003318-67-9,FC1=C(C(=CC=C1)F)C1CC(=NO1)C=1N=C(SC1)C1CCN(CC1)C(CN1N=C(C=C1C)C(F)(F)F)=O,"1-[4-[4-[5-(2,6-difluorophenyl)-4,5-dihydro-1,2-oxazol-3-yl]-1,3-thiazol-2-yl]piperidin-1-yl]-2-[5-methyl-3-(trifluoromethyl)pyrazol-1-yl]ethanone"
Metam-sodium,137-42-8,CNC(=S)[S-].[Na+],sodium N-methylcarbamodithioate
Terpinolene,586-62-9,CC1=CCC(CC1)=C(C)C,1-methyl-4-propan-2-ylidenecyclohexene
Bifujunzhi,927422-36-4,FCO\C=C(/C(=O)OC)\C1=C(C=CC=C1)COC1=NC(=C(C=C1Cl)Cl)Cl,"methyl (Z)-3-(fluoromethoxy)-2-[2-[(3,5,6-trichloro-2-pyridinyl)oxymethyl]phenyl]prop-2-enoate"
Ditalimfos,5131-24-8,C(C)OP(=S)(N1C(C2=CC=CC=C2C1=O)=O)OCC,"2-diethoxyphosphinothioylisoindole-1,3-dione"
Dodine,2439-10-3,CCCCCCCCCCCCN=C(N)N.CC(O)=O,acetic acid;2-dodecylguanidine
Copper abietate,10248-55-2,C[C@]1(CCC[C@@]2([C@H]3CCC(=CC3=CC[C@@H]12)C(C)C)C)C(=O)[O-].C[C@]1(CCC[C@@]2([C@H]3CCC(=CC3=CC[C@@H]12)C(C)C)C)C(=O)[O-].[Cu+2],"copper bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)"
Mepronil,55814-41-0,CC1=C(C(=O)NC2=CC(=CC=C2)OC(C)C)C=CC=C1,2-methyl-N-(3-propan-2-yloxyphenyl)benzamide
Dithianon,3347-22-6,O=C1C2=C(C(C=3SC(=C(SC31)C#N)C#N)=O)C=CC=C2,"5,10-dioxobenzo[g][1,4]benzodithiine-2,3-dicarbonitrile"
Mercuric oxide,21908-53-2,O=[Hg],oxomercury
Thiram,137-26-8,CN(C(=S)SSC(N(C)C)=S)C,"dimethylcarbamothioylsulfanyl N,N-dimethylcarbamodithioate"
Mandestrobin,173662-97-0,CC1=C(OCC2=C(C=CC=C2)C(C(=O)NC)OC)C=C(C=C1)C,"2-[2-[(2,5-dimethylphenoxy)methyl]phenyl]-2-methoxy-N-methylacetamide"
Thicyofen,116170-30-0,ClC1=C(SC(=C1C#N)S(=O)CC)C#N,"3-chloro-5-ethylsulfinylthiophene-2,4-dicarbonitrile"
Penflufen,494793-67-8,FC1=C(C(=NN1C)C)C(=O)NC1=C(C=CC=C1)C(C)CC(C)C,"5-fluoro-1,3-dimethyl-N-[2-(4-methylpentan-2-yl)phenyl]pyrazole-4-carboxamide"
Sulphur,7704-34-9,Not found,sulfane
Pentachlorophenol,87-86-5,ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,"2,3,4,5,6-pentachlorophenol"
Dodemorph acetate,31717-87-0,CC1CN(CC(C)O1)C2CCCCCCCCCCC2.CC(O)=O,"acetic acid;4-cyclododecyl-2,6-dimethylmorpholine"
Probenazole,27605-76-1,C(C=C)OC1=NS(C2=C1C=CC=C2)(=O)=O,"3-prop-2-enoxy-1,2-benzothiazole 1,1-dioxide"
Fluopicolide,239110-15-7,ClC1=C(C(=O)NCC2=NC=C(C=C2Cl)C(F)(F)F)C(=CC=C1)Cl,"2,6-dichloro-N-[[3-chloro-5-(trifluoromethyl)-2-pyridinyl]methyl]benzamide"
Amisulbrom,348635-87-0,BrC1=C(N(C2=CC(=CC=C12)F)S(=O)(=O)C1=NN(C=N1)S(=O)(=O)N(C)C)C,"3-(3-bromo-6-fluoro-2-methylindol-1-yl)sulfonyl-N,N-dimethyl-1,2,4-triazole-1-sulfonamide"
Fluopyram,658066-35-4,ClC=1C(=NC=C(C1)C(F)(F)F)CCNC(C1=C(C=CC=C1)C(F)(F)F)=O,N-[2-[3-chloro-5-(trifluoromethyl)-2-pyridinyl]ethyl]-2-(trifluoromethyl)benzamide
Vinclozolin,50471-44-8,ClC=1C=C(C=C(C1)Cl)N1C(OC(C1=O)(C)C=C)=O,"3-(3,5-dichlorophenyl)-5-ethenyl-5-methyl-1,3-oxazolidine-2,4-dione"
Fenpiclonil,74738-17-3,ClC1=C(C=CC=C1Cl)C=1C(=CNC1)C#N,"4-(2,3-dichlorophenyl)-1H-pyrrole-3-carbonitrile"
Fenpropidin,67306-00-7,C(C)(C)(C)C1=CC=C(C=C1)CC(CN1CCCCC1)C,1-[3-(4-tert-butylphenyl)-2-methylpropyl]piperidine
Dibutyl succinate,141-03-7,C(CCC(=O)OCCCC)(=O)OCCCC,dibutyl butanedioate
Dichlorophen,97-23-4,ClC1=CC(=C(C=C1)O)CC1=C(C=CC(=C1)Cl)O,4-chloro-2-[(5-chloro-2-hydroxyphenyl)methyl]phenol
Metazoxolon,5707-73-3,ClC=1C=C(C=CC1)N=NC1=C(NOC1=O)C,"4-[(3-chlorophenyl)diazenyl]-3-methyl-2H-1,2-oxazol-5-one"
Potassium thiocyanate,333-20-0,[S-]C#N.[K+],potassium thiocyanate
Furconazole-cis,112839-32-4,ClC1=C(C=CC(=C1)Cl)[C@@]1(O[C@H](CC1)OCC(F)(F)F)CN1N=CN=C1,"1-[[(2R,5R)-2-(2,4-dichlorophenyl)-5-(2,2,2-trifluoroethoxy)oxolan-2-yl]methyl]-1,2,4-triazole"
Sucrose,57-50-1,O[C@@H]1[C@](O[C@@H]([C@H]1O)CO)(CO)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
Geraniol,106-24-1,C\C(=C/CO)\CCC=C(C)C,"(2E)-3,7-dimethylocta-2,6-dien-1-ol"
Climbazole,38083-17-9,ClC1=CC=C(OC(C(C(C)(C)C)=O)N2C=NC=C2)C=C1,"1-(4-chlorophenoxy)-1-imidazol-1-yl-3,3-dimethylbutan-2-one"
Urea,57-13-6,NC(=O)N,urea
Diflumetorim,130339-07-0,ClC=1C(=NC=NC1C)NC(CC)C1=CC=C(C=C1)OC(F)F,5-chloro-N-[1-[4-(difluoromethoxy)phenyl]propyl]-6-methylpyrimidin-4-amine
Simeconazole,149508-90-7,FC1=CC=C(C=C1)C(CN1N=CN=C1)(C[Si](C)(C)C)O,"2-(4-fluorophenyl)-1-(1,2,4-triazol-1-yl)-3-trimethylsilylpropan-2-ol"
Imibenconazole,86598-92-7,ClC1=C(C=CC(=C1)Cl)N=C(CN1N=CN=C1)SCC1=CC=C(C=C1)Cl,"(4-chlorophenyl)methyl N-(2,4-dichlorophenyl)-2-(1,2,4-triazol-1-yl)ethanimidothioate"
Edifenphos,17109-49-8,C(C)OP(=O)(SC1=CC=CC=C1)SC1=CC=CC=C1,[ethoxy(phenylsulfanyl)phosphoryl]sulfanylbenzene
Diniconazole-M,83657-18-5,ClC1=C(C=CC(=C1)Cl)\C=C(/[C@@H](C(C)(C)C)O)\N1N=CN=C1,"(E,3R)-1-(2,4-dichlorophenyl)-4,4-dimethyl-2-(1,2,4-triazol-1-yl)pent-1-en-3-ol"
Pyrazophos,13457-18-6,C(C)OP(=S)(OC1=NN2C(N=C(C(=C2)C(=O)OCC)C)=C1)OCC,"ethyl 2-diethoxyphosphinothioyloxy-5-methylpyrazolo[1,5-a]pyrimidine-6-carboxylate"
Quinaminoprole,2049581-78-2,ClC1=CC=C(C=C1)N1N=C(C=C1)OCCNC1=NC=NC2=CC=CC=C12,N-[2-[1-(4-chlorophenyl)pyrazol-3-yl]oxyethyl]quinazolin-4-amine
Imazalil sulphate,35554-44-0,ClC1=C(C=CC(=C1)Cl)C(CN1C=NC=C1)OCC=C,"1-[2-(2,4-dichlorophenyl)-2-prop-2-enoxyethyl]imidazole"
Aminotipyr,3052252-63-5,NC1=NC(=CC=C1C(=O)OCC1=CC=C(C=C1)OC=1SC(=CN1)C)C,"[4-[(5-methyl-1,3-thiazol-2-yl)oxy]phenyl]methyl 2-amino-6-methylpyridine-3-carboxylate"
Flumorph,211867-47-9,COC=1C=C(C=CC1OC)C(=CC(=O)N1CCOCC1)C1=CC=C(C=C1)F,"3-(3,4-dimethoxyphenyl)-3-(4-fluorophenyl)-1-morpholin-4-ylprop-2-en-1-one"
Flutolanil,66332-96-5,CC(C)OC=1C=C(C=CC1)NC(C1=C(C=CC=C1)C(F)(F)F)=O,N-(3-propan-2-yloxyphenyl)-2-(trifluoromethyl)benzamide
Chlortetracycline hydrochloride,64-72-2,[Cl-].CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+],"(4S,4aS,5aS,6S,12aR)-7-chloro-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide;hydrochloride"
Potassium bicarbonate,298-14-6,C(O)([O-])=O.[K+],potassium hydrogen carbonate
Ethylmercury bromide,107-26-6,Br[Hg]CC,bromo(ethyl)mercury
Nuarimol,63284-71-9,ClC1=C(C=CC=C1)C(O)(C=1C=NC=NC1)C1=CC=C(C=C1)F,(2-chlorophenyl)-(4-fluorophenyl)-pyrimidin-5-ylmethanol
DNOC ammonium,2980-64-5,CC1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])[O-].[NH4+],"azanium 2-methyl-4,6-dinitrophenolate"
Aldimorph,1704-28-5,C(CCCCCCCCCCC)N1CC(OC(C1)C)C,"4-dodecyl-2,6-dimethylmorpholine"
Benzohydroxamic acid,495-18-1,ONC(C1=CC=CC=C1)=O,N-hydroxybenzamide
Propamocarb,24579-73-5,CN(CCCNC(OCCC)=O)C,propyl N-[3-(dimethylamino)propyl]carbamate
D-tagatose,87-81-0,OCC1(OC[C@H]([C@@H]([C@@H]1O)O)O)O,"(3S,4S,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol"
"Chlorophyllin, sodium copper",15611-43-5,[Na+].[Na+].[Na+].[Cu++]|1|N\2=C3/C=C4\[N-]\C(=C/C5=N|1\C(=C(\CC([O-])=O)C6=NC(=C(C)C6=C([O-])[O-])\C=C2C(=C3C)CC)C(CCC([O-])=O)C5C)C(=C4C=C)C,"magnesium;3-[20-(carboxylatomethyl)-18-(dioxidomethylidene)-8-ethenyl-13-ethyl-3,7,12,17-tetramethyl-2,3-dihydroporphyrin-23-id-2-yl]propanoate;hydron"
Calcium hydroxide,1305-62-0,[OH-].[OH-].[Ca+2],calcium dihydroxide
Cyprodinil,121552-61-2,C1(CC1)C1=NC(=NC(=C1)C)NC1=CC=CC=C1,4-cyclopropyl-6-methyl-N-phenylpyrimidin-2-amine
Pyroquilon,57369-32-1,N12CCC3=CC=CC(CCC1=O)=C23,"1-azatricyclo[6.3.1.04,12]dodeca-4,6,8(12)-trien-11-one"
Metalaxyl,57837-19-1,COCC(=O)N(C1=C(C=CC=C1C)C)C(C(=O)OC)C,"methyl 2-(N-(2-methoxyacetyl)-2,6-dimethylanilino)propanoate"
Benomyl,17804-35-2,C(CCC)NC(=O)N1C(=NC2=C1C=CC=C2)NC(OC)=O,methyl N-[1-(butylcarbamoyl)benzimidazol-2-yl]carbamate
Ofurace,58810-48-3,ClCC(=O)N(C1C(OCC1)=O)C1=C(C=CC=C1C)C,"2-chloro-N-(2,6-dimethylphenyl)-N-(2-oxooxolan-3-yl)acetamide"
Dimoxystrobin,149961-52-4,CC1=C(OCC2=C(C=CC=C2)\C(\C(=O)NC)=N/OC)C=C(C=C1)C,"(2E)-2-[2-[(2,5-dimethylphenoxy)methyl]phenyl]-2-methoxyimino-N-methylacetamide"
Ammonium carbonate,506-87-6,[NH4+].[NH4+].[O-]C([O-])=O,diazanium;carbonate
Famoxadone,131807-57-3,N(C1=CC=CC=C1)N1C(OC(C1=O)(C1=CC=C(C=C1)OC1=CC=CC=C1)C)=O,"3-anilino-5-methyl-5-(4-phenoxyphenyl)-1,3-oxazolidine-2,4-dione"
Eugenol,97-53-0,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol
Chlorfenazole,3574-96-7,ClC1=C(C=CC=C1)C1=NC2=C(N1)C=CC=C2,2-(2-chlorophenyl)-1H-benzimidazole
Sanguinarine chloride,5578-73-4,[Cl-].C[N+]=1C=C2C=3OCOC3C=CC2=C2C=CC3=CC=4OCOC4C=C3C12,"24-methyl-5,7,18,20-tetraoxa-24-azoniahexacyclo[11.11.0.02,10.04,8.014,22.017,21]tetracosa-1(24),2,4(8),9,11,13,15,17(21),22-nonaene chloride"
Silthiofam,175217-20-6,CC=1C(=C(SC1C)[Si](C)(C)C)C(=O)NCC=C,"4,5-dimethyl-N-prop-2-enyl-2-trimethylsilylthiophene-3-carboxamide"
Carbendazim,10605-21-7,N1C(=NC2=C1C=CC=C2)NC(OC)=O,methyl N-(1H-benzimidazol-2-yl)carbamate
Benzamacril,127087-86-9,C(C1=CC=CC=C1)N(C=C(C(=O)O)C#N)C,3-[benzyl(methyl)amino]-2-cyanoprop-2-enoic acid
2-phenylphenol,90-43-7,C1(=CC=CC=C1)C1=C(C=CC=C1)O,2-phenylphenol
Dehydroacetic acid,520-45-6,C(C)(=O)C1C(OC(=CC1=O)C)=O,"3-acetyl-6-methylpyran-2,4-dione"
Hexachlorophene,70-30-4,ClC=1C(=C(C(=CC1Cl)Cl)O)CC1=C(C(=CC(=C1O)Cl)Cl)Cl,"3,4,6-trichloro-2-[(2,3,5-trichloro-6-hydroxyphenyl)methyl]phenol"
Triarimol,26766-27-8,ClC1=C(C=CC(=C1)Cl)C(O)(C=1C=NC=NC1)C1=CC=CC=C1,"(2,4-dichlorophenyl)-phenyl-pyrimidin-5-ylmethanol"
Disodium octaborate tetrahydrate,12280-03-4,O.O.O.O.[Na+].[Na+].OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB([O-])[O-],"disodium;(9,11-dioxido-5-oxoboranyloxy-2,4,6,8,10,12,13-heptaoxa-1,3,5,7,9,11-hexaborabicyclo[5.5.1]tridecan-3-yl)oxy-oxoborane;tetrahydrate"
Mandipropamid,374726-62-2,ClC1=CC=C(C=C1)C(C(=O)NCCC1=CC(=C(C=C1)OCC#C)OC)OCC#C,2-(4-chlorophenyl)-N-[2-(3-methoxy-4-prop-2-ynoxyphenyl)ethyl]-2-prop-2-ynoxyacetamide
Diethofencarb,87130-20-9,C(C)OC=1C=C(C=CC1OCC)NC(OC(C)C)=O,"propan-2-yl N-(3,4-diethoxyphenyl)carbamate"
Azaconazole,60207-31-0,ClC1=C(C=CC(=C1)Cl)C1(OCCO1)CN1N=CN=C1,"1-[[2-(2,4-dichlorophenyl)-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole"
Kasugamycin,6980-18-3,NC(C(=O)O)=N[C@@H]1[C@H](O[C@@H]([C@H](C1)N)OC1[C@@H]([C@H](C([C@@H]([C@@H]1O)O)O)O)O)C,"2-amino-2-[(2R,3S,5S,6R)-5-amino-2-methyl-6-[(2R,3S,5S,6S)-2,3,4,5,6-pentahydroxycyclohexyl]oxyoxan-3-yl]iminoacetic acid"
Picoxystrobin,117428-22-5,CO/C=C(/C(=O)OC)\C1=C(C=CC=C1)COC1=NC(=CC=C1)C(F)(F)F,methyl (E)-3-methoxy-2-[2-[[6-(trifluoromethyl)-2-pyridinyl]oxymethyl]phenyl]prop-2-enoate
Buthiobate,51308-54-4,C(C)(C)(C)C1=CC=C(C=C1)CSC(=NC=1C=NC=CC1)SCCCC,1-[(4-tert-butylphenyl)methylsulfanyl]-1-butylsulfanyl-N-pyridin-3-ylmethanimine
Sodium tetrathiocarbonate,7345-69-9,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]C([O-])=S.[O-]C([O-])=S.[O-]C([O-])=S.[O-]C([O-])=S,disodium;sulfidosulfanylmethanedithioate
